name,start_date,end_date,created_by,updated_by,dealer_id,external_v_code,external_ds_code
Skimia,04/12/2021,11/07/2021,69,69,381,Self-enabling,infrastructure
Geba,31/12/2021,11/05/2022,70,70,2404,concept,encompassing
Divanoodle,05/10/2021,01/09/2021,71,71,2984,exuding,motivating
Voonyx,21/10/2021,26/09/2021,72,72,1853,incremental,attitude-oriented
Voonder,27/03/2022,03/10/2021,73,73,1627,Upgradable,instruction set
Oyondu,24/11/2021,08/07/2021,74,74,4040,Adaptive,local area network
Gabcube,06/02/2022,12/03/2022,75,75,3100,framework,initiative
Skimia,06/10/2021,14/02/2022,76,76,3745,Inverse,model
Shufflester,27/08/2021,24/07/2021,77,77,3895,Configurable,encompassing
Yakijo,27/11/2021,01/04/2022,78,78,4244,Managed,Re-engineered
Browsedrive,12/12/2021,01/05/2022,79,79,3656,background,moratorium
Flipstorm,09/06/2022,21/01/2022,80,80,3912,hierarchy,Customizable
Blogpad,29/09/2021,14/02/2022,81,81,3838,Fully-configurable,contextually-based
Photobug,14/07/2021,11/07/2021,82,82,1756,exuding,human-resource
Kamba,19/12/2021,16/05/2022,83,83,1807,superstructure,hierarchy
Npath,30/07/2021,24/02/2022,84,84,4209,application,Automated
Ailane,16/04/2022,13/03/2022,85,85,4556,Compatible,open system
Tagopia,10/08/2021,29/01/2022,86,86,2836,conglomeration,encompassing
Quinu,29/05/2022,23/05/2022,87,87,1777,open system,product
Mymm,09/12/2021,05/03/2022,88,88,42,Open-architected,system-worthy
Chatterbridge,26/02/2022,02/02/2022,89,89,2108,full-range,solution
Skynoodle,12/12/2021,01/03/2022,90,90,357,Stand-alone,analyzer
Tagfeed,10/01/2022,11/10/2021,91,91,2776,hub,firmware
Linklinks,29/07/2021,24/04/2022,92,92,3384,incremental,frame
Myworks,27/05/2022,25/12/2021,93,93,1783,matrices,User-friendly
Youspan,10/04/2022,03/06/2022,94,94,1261,portal,Synchronised
Voonyx,07/07/2021,04/05/2022,95,95,1929,Organic,fresh-thinking
Gabcube,14/09/2021,23/02/2022,96,96,1,Networked,interactive
Quamba,10/04/2022,27/08/2021,97,97,521,Adaptive,Switchable
Leenti,18/01/2022,22/07/2021,98,98,3043,Sharable,object-oriented
Jaxbean,11/08/2021,01/09/2021,99,99,1271,secured line,didactic
Babbleopia,07/08/2021,12/01/2022,100,100,2865,Re-engineered,Managed
Flashset,20/01/2022,10/04/2022,101,101,4316,heuristic,collaboration
Voonte,24/05/2022,06/09/2021,102,102,165,frame,systematic
Feedfire,30/01/2022,29/11/2021,103,103,2098,adapter,Triple-buffered
Lazzy,14/06/2021,20/05/2022,104,104,563,Mandatory,incremental
Kwilith,12/02/2022,25/04/2022,105,105,2104,matrices,composite
Skimia,23/04/2022,07/11/2021,106,106,3655,customer loyalty,tertiary
Yakidoo,24/12/2021,03/02/2022,107,107,2366,budgetary management,zero tolerance
Chatterbridge,18/01/2022,17/03/2022,108,108,440,methodology,Innovative
Topdrive,24/11/2021,27/07/2021,109,109,4107,encryption,local
Zoomcast,18/08/2021,17/08/2021,110,110,62,asynchronous,standardization
Eadel,27/03/2022,24/12/2021,111,111,2802,Mandatory,superstructure
Centimia,07/03/2022,12/02/2022,112,112,1903,radical,Virtual
Camimbo,06/12/2021,09/01/2022,113,113,4812,Customizable,Synergized
Izio,19/01/2022,15/07/2021,114,114,3352,Optimized,Public-key
Twimm,10/02/2022,12/11/2021,115,115,4799,synergy,6th generation
Oozz,20/04/2022,12/08/2021,116,116,919,customer loyalty,concept
Kamba,22/03/2022,01/04/2022,117,117,2964,static,content-based
Oyonder,17/02/2022,07/11/2021,118,118,243,solution-oriented,attitude-oriented
Wordify,02/02/2022,30/04/2022,119,119,480,Synergistic,optimizing
Browsebug,05/07/2021,21/11/2021,120,120,1623,circuit,Visionary
Livetube,14/04/2022,19/01/2022,121,121,3681,asymmetric,Exclusive
Tavu,25/01/2022,07/04/2022,122,122,4109,modular,framework
Trudeo,01/02/2022,24/05/2022,123,123,3574,ability,migration
Oyonder,01/05/2022,16/04/2022,124,124,709,Synergized,Optional
Gabtype,08/03/2022,02/02/2022,125,125,3268,static,artificial intelligence
Quimm,22/12/2021,27/01/2022,126,126,3863,intangible,emulation
Dabshots,13/07/2021,01/08/2021,127,127,1131,contextually-based,Upgradable
Thoughtmix,22/04/2022,11/06/2022,128,128,3337,instruction set,disintermediate
Teklist,01/11/2021,14/03/2022,129,129,1141,Pre-emptive,neural-net
Avamba,02/06/2022,20/10/2021,130,130,944,6th generation,algorithm
Eabox,01/09/2021,10/09/2021,131,131,3031,encoding,Re-contextualized
Fanoodle,08/09/2021,05/01/2022,132,132,1193,success,dynamic
Babbleblab,10/11/2021,27/11/2021,133,133,2205,multimedia,Innovative
Devcast,16/06/2021,29/11/2021,134,134,968,software,solution-oriented
Flashspan,08/09/2021,08/09/2021,135,135,2665,Reverse-engineered,multi-state
Youfeed,31/12/2021,23/07/2021,136,136,2009,contextually-based,interactive
Linkbridge,02/02/2022,01/02/2022,137,137,1657,Profit-focused,neural-net
Browsecat,04/02/2022,21/06/2021,138,138,250,next generation,Realigned
Gabtype,31/05/2022,08/08/2021,139,139,2727,Enhanced,neural-net
Twitterworks,29/05/2022,06/04/2022,140,140,2582,needs-based,encoding
Kaymbo,26/09/2021,21/06/2021,141,141,2965,Synergistic,toolset
Avaveo,29/10/2021,21/11/2021,142,142,784,clear-thinking,secured line
Photofeed,14/12/2021,13/03/2022,143,143,1456,uniform,knowledge base
Jaxspan,28/04/2022,27/08/2021,144,144,1532,leading edge,multimedia
Photobug,13/01/2022,21/11/2021,145,145,658,systemic,algorithm
Podcat,21/01/2022,08/06/2022,146,146,4055,task-force,Graphic Interface
Vitz,18/09/2021,14/07/2021,147,147,2137,Organic,database
Riffwire,03/04/2022,17/04/2022,148,148,2307,knowledge user,Compatible
Talane,10/08/2021,01/10/2021,149,149,537,Cloned,flexibility
Gabtune,14/01/2022,22/12/2021,150,150,2112,Polarised,User-centric
Gigabox,04/07/2021,17/03/2022,151,151,575,middleware,Object-based
Eire,14/05/2022,19/04/2022,152,152,4013,utilisation,orchestration
Zoonoodle,08/11/2021,11/07/2021,153,153,4329,responsive,function
Jazzy,04/05/2022,13/06/2021,154,154,1873,data-warehouse,Ergonomic
Skivee,07/06/2022,04/07/2021,155,155,3896,interactive,optimizing
Voolia,28/06/2021,12/01/2022,156,156,1944,neutral,transitional
Brainlounge,09/11/2021,18/03/2022,157,157,1774,Object-based,infrastructure
Jaxnation,27/03/2022,06/11/2021,158,158,1612,didactic,matrix
Eare,05/10/2021,26/12/2021,159,159,1203,systemic,initiative
Blogspan,31/03/2022,09/11/2021,160,160,4006,Customer-focused,4th generation
Fanoodle,28/09/2021,26/07/2021,161,161,2807,Team-oriented,incremental
Yacero,02/05/2022,20/06/2021,162,162,971,Self-enabling,model
Skipstorm,30/09/2021,02/03/2022,163,163,281,multimedia,definition
Realcube,04/04/2022,18/12/2021,164,164,1142,secured line,artificial intelligence
Shufflester,28/09/2021,10/08/2021,165,165,3685,framework,next generation
Eimbee,17/10/2021,01/04/2022,166,166,542,Profit-focused,neural-net
Gabcube,24/01/2022,28/12/2021,167,167,1073,Progressive,challenge
Wordware,20/10/2021,25/06/2021,168,168,2806,context-sensitive,circuit
Gabtune,08/03/2022,22/07/2021,169,169,3437,asymmetric,circuit
Browsezoom,09/04/2022,27/09/2021,170,170,3518,logistical,radical
Divavu,04/12/2021,21/09/2021,171,171,4404,Realigned,Profound
JumpXS,20/11/2021,02/04/2022,172,172,169,intranet,Synergistic
Zazio,26/03/2022,05/02/2022,173,173,3599,Re-contextualized,Graphic Interface
LiveZ,24/03/2022,04/03/2022,174,174,3922,national,function
Devify,25/06/2021,18/05/2022,175,175,1828,clear-thinking,orchestration
Yombu,08/01/2022,27/01/2022,176,176,2790,needs-based,application
Jaloo,07/06/2022,06/02/2022,177,177,853,Monitored,homogeneous
Gigashots,02/10/2021,04/12/2021,178,178,2687,ability,secured line
Oyonder,27/06/2021,08/04/2022,179,179,2153,incremental,utilisation
Roodel,11/09/2021,18/08/2021,180,180,2683,responsive,initiative
Skyba,06/12/2021,07/11/2021,181,181,75,solution-oriented,frame
Riffpedia,21/04/2022,10/06/2022,182,182,1788,directional,paradigm
Trupe,19/11/2021,30/08/2021,183,183,2179,Future-proofed,eco-centric
Cogilith,23/07/2021,02/01/2022,184,184,3303,Decentralized,responsive
Lazzy,20/08/2021,12/01/2022,185,185,1729,Adaptive,system-worthy
Npath,24/11/2021,21/12/2021,186,186,114,Business-focused,service-desk
Browsecat,04/10/2021,01/12/2021,187,187,3905,local area network,Multi-lateral
Viva,13/08/2021,10/08/2021,188,188,1015,Compatible,Fully-configurable
Flashpoint,25/04/2022,01/04/2022,189,189,2779,structure,matrices
Twinder,17/02/2022,17/08/2021,190,190,4229,benchmark,heuristic
Thoughtstorm,10/04/2022,03/08/2021,191,191,1812,dedicated,emulation
Realblab,29/09/2021,06/06/2022,192,192,3800,Cross-group,superstructure
Topiczoom,01/05/2022,07/10/2021,193,193,3358,stable,product
Vipe,15/11/2021,19/04/2022,194,194,2095,Reverse-engineered,content-based
Aimbu,18/06/2021,19/05/2022,195,195,4492,Self-enabling,Enhanced
Browsecat,09/08/2021,07/11/2021,196,196,1489,didactic,Self-enabling
Dabfeed,18/03/2022,19/05/2022,197,197,4380,content-based,Balanced
Zoombeat,28/07/2021,06/12/2021,198,198,1943,Configurable,toolset
Brainsphere,01/11/2021,03/09/2021,199,199,4657,toolset,coherent
Jatri,11/01/2022,02/07/2021,200,200,503,Synergized,Stand-alone
Aibox,08/08/2021,07/07/2021,201,201,1506,matrix,fresh-thinking
Demizz,09/05/2022,28/04/2022,202,202,4105,paradigm,contingency
Fivespan,29/08/2021,26/09/2021,203,203,3459,asymmetric,product
Edgetag,13/10/2021,18/12/2021,204,204,1556,concept,Expanded
Eazzy,06/09/2021,16/01/2022,205,205,920,Fundamental,Ergonomic
Jayo,09/01/2022,21/03/2022,206,206,4577,Down-sized,full-range
Dynava,24/07/2021,18/05/2022,207,207,4588,actuating,fault-tolerant
Linkbuzz,24/06/2021,15/01/2022,208,208,2447,installation,heuristic
Skiptube,08/04/2022,20/04/2022,209,209,3957,hybrid,standardization
Mynte,08/04/2022,21/01/2022,210,210,55,Profound,Intuitive
Trilith,25/10/2021,25/03/2022,211,211,4884,interface,Function-based
Lazzy,20/10/2021,02/03/2022,212,212,2950,Vision-oriented,Robust
Skidoo,19/10/2021,05/04/2022,213,213,2311,Total,application
Kayveo,22/02/2022,16/01/2022,214,214,4808,Future-proofed,exuding
Skivee,26/11/2021,24/12/2021,215,215,439,Upgradable,database
Gabcube,16/09/2021,09/07/2021,216,216,4584,didactic,matrix
Skyndu,20/11/2021,21/07/2021,217,217,1155,core,customer loyalty
Dabtype,06/04/2022,28/10/2021,218,218,607,website,Intuitive
Fivebridge,10/11/2021,23/10/2021,219,219,1147,superstructure,Fully-configurable
Kamba,19/07/2021,07/04/2022,220,220,273,stable,system engine
Photobug,03/11/2021,29/04/2022,221,221,3156,User-friendly,optimizing
Gabcube,15/01/2022,28/01/2022,222,222,3087,matrices,zero defect
Wikizz,12/06/2021,23/10/2021,223,223,4254,scalable,Business-focused
Skidoo,21/06/2021,26/03/2022,224,224,2930,Robust,Phased
Wikido,14/08/2021,23/09/2021,225,225,1616,asynchronous,Multi-lateral
Nlounge,10/06/2022,25/04/2022,226,226,136,Organic,systematic
Youbridge,18/06/2021,09/05/2022,227,227,3086,responsive,process improvement
Gabtune,03/02/2022,20/12/2021,228,228,828,Function-based,maximized
Yata,12/03/2022,11/02/2022,229,229,149,client-driven,systemic
Blogpad,15/12/2021,02/07/2021,230,230,3214,policy,instruction set
Yodel,28/09/2021,06/06/2022,231,231,776,service-desk,object-oriented
Pixope,18/06/2021,25/07/2021,232,232,698,bi-directional,Optional
Npath,22/07/2021,29/12/2021,233,233,2254,emulation,Self-enabling
Snaptags,17/03/2022,02/09/2021,234,234,3464,Programmable,Multi-tiered
Skinix,19/05/2022,28/07/2021,235,235,953,capacity,6th generation
Avamm,04/05/2022,20/05/2022,236,236,2826,User-friendly,productivity
Voomm,07/07/2021,26/03/2022,237,237,4269,Customizable,project
Blogspan,04/12/2021,28/11/2021,238,238,4115,scalable,system engine
Youspan,16/09/2021,31/10/2021,239,239,4312,initiative,Digitized
Wikido,08/01/2022,12/04/2022,240,240,4855,3rd generation,Optimized
Browsecat,20/04/2022,23/02/2022,241,241,1799,full-range,Reverse-engineered
Twitterbeat,13/05/2022,22/11/2021,242,242,4635,next generation,zero defect
Photolist,26/09/2021,05/04/2022,243,243,82,neutral,paradigm
Cogilith,19/03/2022,20/12/2021,244,244,4177,functionalities,Fully-configurable
Kwinu,26/03/2022,11/05/2022,245,245,2134,Right-sized,full-range
Tazzy,08/05/2022,03/07/2021,246,246,605,Customer-focused,Robust
Twinder,25/08/2021,24/02/2022,247,247,4289,tertiary,capacity
Skibox,16/12/2021,05/05/2022,248,248,3983,logistical,application
Kaymbo,05/01/2022,03/10/2021,249,249,1060,migration,utilisation
Rooxo,03/05/2022,14/12/2021,250,250,4301,capability,zero defect
Oyope,12/09/2021,21/03/2022,251,251,4637,client-driven,responsive
Gabcube,06/11/2021,11/10/2021,252,252,2016,optimizing,project
Kwimbee,30/05/2022,22/03/2022,253,253,4740,benchmark,contingency
Youopia,20/09/2021,04/11/2021,254,254,2840,Switchable,cohesive
Skiptube,14/09/2021,05/05/2022,255,255,3490,Cross-group,Front-line
Thoughtstorm,15/11/2021,20/01/2022,256,256,4950,orchestration,fault-tolerant
Thoughtbridge,22/08/2021,12/10/2021,257,257,3020,hybrid,Right-sized
Demimbu,02/10/2021,13/06/2021,258,258,740,orchestration,bandwidth-monitored
Dabvine,25/07/2021,14/10/2021,259,259,2491,policy,Seamless
Vipe,19/01/2022,25/03/2022,260,260,3334,mobile,forecast
Chatterbridge,14/10/2021,01/04/2022,261,261,2036,Future-proofed,collaboration
Twimbo,16/07/2021,25/02/2022,262,262,3141,holistic,Networked
Trudeo,09/06/2022,02/02/2022,263,263,1399,data-warehouse,mission-critical
Demivee,25/10/2021,03/05/2022,264,264,3683,Organic,zero administration
Jetpulse,26/11/2021,08/03/2022,265,265,326,alliance,core
Riffpath,15/12/2021,10/04/2022,266,266,2963,complexity,bottom-line
Flashdog,23/03/2022,11/02/2022,267,267,2723,leading edge,systematic
Flipbug,25/07/2021,01/12/2021,268,268,726,User-friendly,Object-based
Flashpoint,06/03/2022,21/11/2021,269,269,827,synergy,mobile
Feedfire,02/11/2021,02/02/2022,270,270,3370,De-engineered,Cross-group
Devpulse,11/08/2021,25/08/2021,271,271,4715,Distributed,homogeneous
Meembee,01/11/2021,28/10/2021,272,272,3069,implementation,Open-architected
Eimbee,26/11/2021,01/03/2022,273,273,4730,5th generation,success
Divanoodle,06/04/2022,15/12/2021,274,274,1057,non-volatile,Team-oriented
Bubbletube,02/06/2022,13/06/2021,275,275,4847,motivating,maximized
Shufflester,03/03/2022,14/02/2022,276,276,1025,Mandatory,heuristic
Ntags,11/10/2021,12/02/2022,277,277,2101,Enterprise-wide,static
LiveZ,14/11/2021,05/01/2022,278,278,2671,impactful,time-frame
Realpoint,18/01/2022,01/08/2021,279,279,2555,neutral,Decentralized
Yakidoo,03/12/2021,11/12/2021,280,280,4202,Progressive,Optimized
Topiclounge,09/10/2021,15/07/2021,281,281,1267,Virtual,Upgradable
Buzzdog,26/12/2021,30/09/2021,282,282,3771,attitude,Balanced
Gevee,07/09/2021,07/07/2021,283,283,3898,toolset,optimal
Mydo,04/07/2021,16/10/2021,284,284,1916,function,Virtual
Quinu,17/07/2021,21/09/2021,285,285,302,multi-tasking,Persistent
Livepath,13/04/2022,23/09/2021,286,286,3894,superstructure,optimizing
Meemm,10/11/2021,06/05/2022,287,287,1586,tertiary,Enterprise-wide
Kamba,08/05/2022,14/02/2022,288,288,721,secondary,Ameliorated
Mudo,21/04/2022,12/08/2021,289,289,2707,protocol,Focused
Dabvine,28/02/2022,14/12/2021,290,290,239,Polarised,knowledge base
Yacero,13/04/2022,16/03/2022,291,291,1010,Synchronised,Function-based
Realcube,04/04/2022,27/08/2021,292,292,4221,Ameliorated,coherent
Jayo,18/06/2021,02/07/2021,293,293,1100,flexibility,groupware
Riffpath,01/01/2022,01/08/2021,294,294,595,Reactive,full-range
Jabbercube,04/07/2021,27/11/2021,295,295,2668,Polarised,Reduced
Dabtype,20/11/2021,04/08/2021,296,296,3445,explicit,real-time
Feednation,04/07/2021,06/11/2021,297,297,544,Centralized,open system
Photofeed,24/09/2021,30/08/2021,298,298,3251,open architecture,intangible
Midel,14/08/2021,17/05/2022,299,299,2620,Cross-group,Digitized
Skinder,09/01/2022,06/10/2021,300,300,157,content-based,concept
Zoovu,21/11/2021,20/09/2021,301,301,883,hybrid,Managed
Blognation,09/05/2022,05/09/2021,302,302,1349,capability,alliance
Fatz,25/04/2022,15/09/2021,303,303,2252,grid-enabled,logistical
Trilia,07/10/2021,26/06/2021,304,304,1307,help-desk,Self-enabling
Pixoboo,04/02/2022,12/10/2021,305,305,56,artificial intelligence,hardware
Leenti,16/10/2021,08/08/2021,306,306,1561,matrix,Monitored
Linkbridge,30/07/2021,30/12/2021,307,307,4350,Persistent,full-range
Fiveclub,28/10/2021,01/05/2022,308,308,200,Seamless,capacity
Quamba,01/08/2021,06/02/2022,309,309,3187,transitional,zero tolerance
Gevee,19/06/2021,10/11/2021,310,310,4802,De-engineered,Managed
Babbleopia,31/03/2022,09/05/2022,311,311,2068,Digitized,matrix
Youspan,17/03/2022,04/06/2022,312,312,3209,3rd generation,empowering
Vinder,30/03/2022,04/09/2021,313,313,2781,grid-enabled,parallelism
Topiczoom,20/12/2021,01/11/2021,314,314,4665,Synergized,flexibility
Snaptags,20/03/2022,29/09/2021,315,315,211,De-engineered,optimizing
Livetube,01/01/2022,03/01/2022,316,316,780,workforce,leverage
Zoomzone,17/07/2021,02/05/2022,317,317,1771,superstructure,attitude-oriented
Voonyx,25/04/2022,02/11/2021,318,318,4891,Self-enabling,object-oriented
Blogtag,01/02/2022,05/08/2021,319,319,4326,Enhanced,Intuitive
Brainbox,15/06/2021,03/11/2021,320,320,1209,Team-oriented,productivity
Tazzy,22/09/2021,13/02/2022,321,321,2558,leading edge,Monitored
Vinder,27/09/2021,15/08/2021,322,322,1228,collaboration,Visionary
Trupe,01/05/2022,22/12/2021,323,323,4417,knowledge user,Cross-group
Topiclounge,19/07/2021,30/09/2021,324,324,346,paradigm,groupware
Gevee,29/12/2021,21/01/2022,325,325,1245,utilisation,Intuitive
Edgepulse,31/10/2021,07/11/2021,326,326,1913,complexity,static
Yombu,23/03/2022,21/05/2022,327,327,3234,executive,Polarised
Leenti,07/01/2022,10/12/2021,328,328,2052,algorithm,dedicated
Thoughtmix,18/06/2021,04/03/2022,329,329,4064,success,Multi-channelled
Twiyo,20/09/2021,23/02/2022,330,330,4491,hierarchy,interactive
Avavee,08/06/2022,03/04/2022,331,331,948,even-keeled,Down-sized
Flipstorm,27/01/2022,04/04/2022,332,332,545,holistic,Seamless
Pixonyx,08/08/2021,25/02/2022,333,333,2301,complexity,context-sensitive
Avamba,27/04/2022,14/05/2022,334,334,4539,portal,Pre-emptive
Kwinu,31/10/2021,22/10/2021,335,335,4271,monitoring,Cross-platform
Trilith,08/03/2022,08/02/2022,336,336,4440,modular,knowledge user
Buzzshare,20/01/2022,24/05/2022,337,337,3770,6th generation,incremental
Jabbercube,15/03/2022,05/11/2021,338,338,1952,Focused,task-force
Meevee,07/05/2022,25/09/2021,339,339,493,value-added,Persevering
Skippad,13/10/2021,08/05/2022,340,340,4893,transitional,dedicated
Jetwire,26/01/2022,13/08/2021,341,341,396,knowledge user,internet solution
Blogtag,04/10/2021,21/09/2021,342,342,839,Up-sized,Integrated
Dabvine,25/07/2021,26/12/2021,343,343,1320,global,Public-key
Lazzy,25/09/2021,01/10/2021,344,344,3492,Quality-focused,monitoring
Gabcube,02/11/2021,22/07/2021,345,345,2048,hardware,local area network
Meevee,27/09/2021,01/11/2021,346,346,4945,bi-directional,Visionary
Eazzy,18/11/2021,24/04/2022,347,347,1519,Graphic Interface,Optional
Voolia,06/11/2021,30/11/2021,348,348,50,User-friendly,moderator
Wordware,06/11/2021,02/05/2022,349,349,724,Persevering,Re-contextualized
Jetwire,09/10/2021,12/07/2021,350,350,3986,Virtual,Centralized
Gigazoom,16/10/2021,01/01/2022,351,351,2756,Intuitive,Managed
Vinte,16/06/2021,25/10/2021,352,352,305,3rd generation,Expanded
Demivee,24/01/2022,05/05/2022,353,353,1429,Programmable,homogeneous
Cogilith,25/12/2021,02/05/2022,354,354,2975,context-sensitive,homogeneous
Feedfish,19/11/2021,16/06/2021,355,355,1840,Adaptive,firmware
Mudo,28/05/2022,26/01/2022,356,356,4845,Stand-alone,Vision-oriented
Avamm,30/05/2022,18/07/2021,357,357,2550,product,Synergized
Mybuzz,05/08/2021,04/11/2021,358,358,4212,time-frame,national
Skaboo,04/09/2021,18/09/2021,359,359,4759,interactive,Universal
Dabfeed,30/11/2021,17/01/2022,360,360,3710,User-friendly,Networked
Blogspan,12/08/2021,23/12/2021,361,361,1439,array,next generation
Kaymbo,11/05/2022,28/02/2022,362,362,1458,actuating,attitude
Topicware,08/03/2022,05/07/2021,363,363,3416,Secured,static
Cogilith,17/04/2022,11/06/2022,364,364,241,transitional,Customer-focused
Skiba,06/07/2021,28/08/2021,365,365,73,Diverse,Quality-focused
Flipbug,06/05/2022,02/05/2022,366,366,1047,static,Automated
Photofeed,17/02/2022,01/12/2021,367,367,4341,Customer-focused,orchestration
Divanoodle,29/07/2021,15/04/2022,368,368,1291,Polarised,frame
Brightbean,04/10/2021,09/02/2022,369,369,3987,framework,architecture
Eire,28/10/2021,04/01/2022,370,370,2433,bottom-line,discrete
Feedfire,26/04/2022,12/11/2021,371,371,3579,fault-tolerant,info-mediaries
Bubblebox,13/08/2021,29/07/2021,372,372,61,fresh-thinking,dedicated
Zoozzy,13/10/2021,17/02/2022,373,373,3011,executive,Reduced
Flashdog,04/05/2022,07/12/2021,374,374,3231,solution,Cloned
Voomm,31/01/2022,07/06/2022,375,375,2424,instruction set,Mandatory
Kazu,28/07/2021,01/02/2022,376,376,3708,Multi-lateral,Public-key
Gabcube,04/04/2022,29/03/2022,377,377,2948,Horizontal,bi-directional
Kwinu,20/08/2021,09/03/2022,378,378,44,attitude,6th generation
Skyble,28/02/2022,21/12/2021,379,379,3585,benchmark,open architecture
Meevee,07/04/2022,16/12/2021,380,380,4703,mobile,implementation
Ntag,13/12/2021,05/04/2022,381,381,2587,Fully-configurable,Customizable
Gigaclub,26/12/2021,03/03/2022,382,382,1727,responsive,Grass-roots
